Day,Price
0,40.0
1,34.08
2,34.47
3,35.59
4,36.24
5,41.67
6,43.66
7,39.11
8,30.84
9,42.75
10,35.27
11,41.68
12,44.58
13,45.95
14,38.22
15,45.19
16,40.39
17,42.61
18,49.36
19,47.26
20,57.14
21,55.42
22,48.28
23,47.69
24,50.84
25,52.25
26,51.06
27,54.53
28,49.44
29,52.33
30,49.89
31,52.57
32,45.22
33,44.36
34,50.49
35,48.92
36,45.53
37,53.25
38,53.88
39,45.05
40,48.0
41,47.42
42,39.53
43,45.24
44,52.68
45,48.33
46,56.05
47,40.54
48,55.25
49,52.15
50,54.37
51,50.44
52,48.92
53,55.77
54,58.41
55,58.56
56,56.87
57,58.62
58,53.7
59,52.84
60,63.06
61,55.09
62,55.02
63,63.94
64,64.41
65,64.76
66,57.1
67,55.89
68,66.47
69,60.51
70,67.56
71,61.86
72,61.98
73,63.75
74,60.83
75,64.22
76,62.03
77,56.41
78,59.47
79,66.85
80,66.98
81,58.73
82,62.15
83,56.53
84,57.08
85,59.67
86,58.99
87,49.77
88,57.58
89,63.6
90,53.76
91,54.23
92,57.59
93,54.15
94,62.82
95,47.42
96,46.8
97,48.23
98,47.51
99,46.32
100,58.63
101,50.29
102,46.61
103,48.92
104,47.49
105,46.5
106,45.49
107,49.46
108,56.34
109,50.7
110,48.8
111,50.97
112,46.76
113,49.86
114,47.13
115,52.61
116,51.22
117,46.09
118,47.51
119,50.65
120,64.98
121,59.43
122,56.47
123,57.79
124,63.69
125,60.3
126,55.76
127,57.39
128,62.03
129,59.08
130,57.71
131,47.37
132,59.09
133,55.62
134,49.21
135,59.72
136,56.52
137,57.56
138,50.25
139,55.83
140,49.93
141,52.5
142,54.01
143,57.1
144,48.82
145,58.6
146,58.62
147,49.33
148,37.66
149,44.94
150,45.44
151,46.8
152,49.31
153,49.78
154,48.41
155,48.87
156,38.37
157,41.85
158,36.98
159,38.91
160,42.67
161,37.09
162,40.66
163,30.86
164,38.0
165,30.13
166,35.39
167,34.06
168,36.91
169,37.88
170,39.96
171,47.58
172,46.77
173,49.92
174,46.51
175,51.41
176,55.4
177,48.8
178,56.24
179,61.02
180,60.75
181,64.45
182,57.43
183,67.28
184,72.82
185,78.53
186,76.97
187,80.31
188,83.8
189,76.85
190,71.21
191,73.35
192,78.43
193,75.2
194,84.13
195,81.04
196,77.48
197,80.37
198,83.06
199,75.27
200,86.99
201,76.3
202,79.85
203,80.91
204,74.62
205,81.88
206,74.37
207,82.76
208,79.67
209,85.15
210,82.43
211,82.87
212,80.78
213,79.57
214,76.94
215,70.74
216,77.53
217,68.59
218,70.67
219,68.56
220,73.4
221,74.94
222,65.04
223,68.77
224,64.4
225,60.99
226,66.88
227,67.93
228,62.51
229,60.73
230,61.32
231,63.33
232,66.9
233,62.93
234,59.21
235,69.36
236,73.14
237,63.56
238,61.17
239,70.88
240,64.44
241,72.98
242,74.45
243,73.59
244,71.56
245,71.72
246,76.74
247,70.45
248,74.24
249,79.33
250,77.26
251,80.31
252,71.4
253,74.21
254,71.35
255,72.34
256,72.4
257,77.36
258,69.53
259,65.91
260,73.14
261,69.21
262,63.52
263,68.4
264,65.91
265,73.61
266,65.74
267,64.87
268,68.87
269,63.24
270,58.54
271,62.9
272,56.72
273,68.87
274,69.11
275,67.29
276,71.51
277,62.75
278,66.56
279,74.56
280,62.57
281,67.53
282,75.6
283,68.17
284,64.11
285,75.37
286,70.17
287,77.32
288,72.51
289,71.37
290,70.06
291,67.11
292,76.23
293,75.65
294,71.53
295,68.98
296,74.19
297,75.61
298,71.33
299,73.74
300,68.85
301,68.13
302,79.83
303,79.58
304,78.85
305,80.01
306,79.44
307,74.35
308,77.31
309,82.38
310,79.89
311,76.64
312,76.0
313,81.81
314,79.24
315,79.84
316,70.73
317,79.09
318,76.91
319,81.16
320,79.83
321,82.97
322,76.61
323,68.06
324,72.51
325,73.66
326,69.86
327,73.97
328,70.68
329,70.18
330,71.12
331,77.99
332,72.49
333,73.33
334,73.65
335,68.62
336,74.93
337,72.99
338,75.33
339,65.66
340,77.18
341,66.74
342,78.2
343,75.91
344,81.96
345,79.13
346,82.32
347,77.94
348,74.9
349,79.98
350,76.28
351,85.15
352,85.0
353,84.5
354,82.17
355,82.88
356,80.96
357,84.91
358,77.3
359,73.68
360,79.25
361,75.19
362,72.64
363,70.18
364,73.71
