Day,Price
0,3.27
1,3.27
2,3.22
3,3.21
4,3.21
5,3.28
6,3.27
7,3.25
8,3.31
9,3.29
10,3.27
11,3.25
12,3.31
13,3.35
14,3.33
15,3.35
16,3.3
17,3.35
18,3.36
19,3.35
20,3.33
21,3.32
22,3.38
23,3.36
24,3.36
25,3.39
26,3.38
27,3.39
28,3.4
29,3.36
30,3.43
31,3.39
32,3.4
33,3.38
34,3.39
35,3.38
36,3.35
37,3.4
38,3.39
39,3.41
40,3.4
41,3.42
42,3.44
43,3.42
44,3.41
45,3.42
46,3.45
47,3.37
48,3.4
49,3.38
50,3.4
51,3.37
52,3.35
53,3.4
54,3.39
55,3.39
56,3.36
57,3.37
58,3.36
59,3.33
60,3.38
61,3.37
62,3.39
63,3.35
64,3.34
65,3.35
66,3.36
67,3.35
68,3.36
69,3.36
70,3.42
71,3.37
72,3.38
73,3.37
74,3.37
75,3.37
76,3.38
77,3.37
78,3.39
79,3.38
80,3.37
81,3.39
82,3.37
83,3.38
84,3.37
85,3.41
86,3.38
87,3.38
88,3.35
89,3.38
90,3.36
91,3.36
92,3.39
93,3.39
94,3.4
95,3.39
96,3.4
97,3.38
98,3.35
99,3.37
100,3.38
101,3.37
102,3.37
103,3.34
104,3.36
105,3.36
106,3.39
107,3.4
108,3.35
109,3.36
110,3.37
111,3.37
112,3.37
113,3.39
114,3.35
115,3.39
116,3.36
117,3.38
118,3.4
119,3.38
120,3.37
121,3.39
122,3.35
123,3.41
124,3.39
125,3.39
126,3.41
127,3.39
128,3.39
129,3.4
130,3.38
131,3.4
132,3.38
133,3.4
134,3.41
135,3.41
136,3.42
137,3.41
138,3.41
139,3.38
140,3.42
141,3.4
142,3.38
143,3.46
144,3.39
145,3.47
146,3.43
147,3.42
148,3.42
149,3.44
150,3.45
151,3.43
152,3.43
153,3.44
154,3.44
155,3.44
156,3.41
157,3.47
158,3.46
159,3.45
160,3.44
161,3.41
162,3.47
163,3.43
164,3.45
165,3.42
166,3.49
167,3.46
168,3.47
169,3.49
170,3.48
171,3.49
172,3.48
173,3.49
174,3.47
175,3.5
176,3.45
177,3.48
178,3.49
179,3.49
180,3.54
181,3.53
182,3.51
183,3.54
184,3.52
185,3.58
186,3.55
187,3.56
188,3.56
189,3.57
190,3.59
191,3.58
192,3.56
193,3.54
194,3.55
195,3.52
196,3.55
197,3.56
198,3.55
199,3.55
200,3.56
201,3.58
202,3.52
203,3.55
204,3.54
205,3.56
206,3.52
207,3.56
208,3.54
209,3.54
210,3.53
211,3.51
212,3.5
213,3.48
214,3.5
215,3.52
216,3.52
217,3.5
218,3.43
219,3.54
220,3.49
221,3.48
222,3.45
223,3.49
224,3.46
225,3.47
226,3.5
227,3.46
228,3.5
229,3.5
230,3.48
231,3.51
232,3.45
233,3.45
234,3.47
235,3.42
236,3.45
237,3.44
238,3.42
239,3.4
240,3.41
241,3.42
242,3.39
243,3.42
244,3.37
245,3.41
246,3.38
247,3.38
248,3.37
249,3.32
250,3.35
251,3.36
252,3.36
253,3.34
254,3.33
255,3.33
256,3.31
257,3.33
258,3.34
259,3.35
260,3.38
261,3.36
262,3.33
263,3.34
264,3.37
265,3.38
266,3.39
267,3.38
268,3.35
269,3.34
270,3.36
271,3.36
272,3.36
273,3.34
274,3.38
275,3.44
276,3.45
277,3.45
278,3.41
279,3.47
280,3.48
281,3.49
282,3.51
283,3.53
284,3.53
285,3.52
286,3.61
287,3.58
288,3.61
289,3.63
290,3.63
291,3.64
292,3.66
293,3.67
294,3.67
295,3.65
296,3.65
297,3.66
298,3.6
299,3.61
300,3.61
301,3.6
302,3.61
303,3.6
304,3.58
305,3.6
306,3.6
307,3.54
308,3.59
309,3.52
310,3.55
311,3.55
312,3.55
313,3.54
314,3.54
315,3.55
316,3.52
317,3.5
318,3.48
319,3.48
320,3.48
321,3.45
322,3.41
323,3.47
324,3.46
325,3.45
326,3.44
327,3.43
328,3.48
329,3.47
330,3.41
331,3.43
332,3.45
333,3.44
334,3.41
335,3.46
336,3.39
337,3.43
338,3.44
339,3.45
340,3.45
341,3.46
342,3.46
343,3.47
344,3.47
345,3.47
346,3.45
347,3.46
348,3.46
349,3.5
350,3.49
351,3.47
352,3.5
353,3.52
354,3.49
355,3.52
356,3.51
357,3.49
358,3.49
359,3.49
360,3.47
361,3.48
362,3.49
363,3.47
364,3.48
