Day,Price
0,1.5
1,1.5
2,1.47
3,1.5
4,1.44
5,1.46
6,1.48
7,1.57
8,1.48
9,1.45
10,1.49
11,1.46
12,1.5
13,1.41
14,1.48
15,1.5
16,1.48
17,1.48
18,1.47
19,1.51
20,1.51
21,1.41
22,1.52
23,1.5
24,1.49
25,1.54
26,1.45
27,1.47
28,1.5
29,1.53
30,1.42
31,1.49
32,1.45
33,1.52
34,1.51
35,1.47
36,1.51
37,1.52
38,1.57
39,1.54
40,1.54
41,1.49
42,1.52
43,1.55
44,1.51
45,1.51
46,1.55
47,1.49
48,1.52
49,1.51
50,1.52
51,1.53
52,1.46
53,1.49
54,1.53
55,1.54
56,1.51
57,1.51
58,1.5
59,1.55
60,1.48
61,1.57
62,1.52
63,1.48
64,1.46
65,1.46
66,1.53
67,1.53
68,1.44
69,1.5
70,1.51
71,1.49
72,1.51
73,1.48
74,1.48
75,1.48
76,1.49
77,1.48
78,1.46
79,1.53
80,1.52
81,1.5
82,1.54
83,1.5
84,1.48
85,1.47
86,1.49
87,1.51
88,1.58
89,1.49
90,1.54
91,1.53
92,1.5
93,1.57
94,1.51
95,1.52
96,1.45
97,1.51
98,1.5
99,1.53
100,1.57
101,1.52
102,1.52
103,1.46
104,1.41
105,1.47
106,1.53
107,1.49
108,1.47
109,1.52
110,1.51
111,1.52
112,1.56
113,1.55
114,1.5
115,1.52
116,1.47
117,1.5
118,1.52
119,1.47
120,1.42
121,1.46
122,1.53
123,1.56
124,1.47
125,1.48
126,1.53
127,1.48
128,1.44
129,1.53
130,1.48
131,1.47
132,1.6
133,1.54
134,1.51
135,1.49
136,1.51
137,1.51
138,1.55
139,1.49
140,1.51
141,1.48
142,1.54
143,1.52
144,1.5
145,1.53
146,1.48
147,1.5
148,1.45
149,1.49
150,1.48
151,1.48
152,1.47
153,1.49
154,1.56
155,1.52
156,1.5
157,1.52
158,1.5
159,1.51
160,1.55
161,1.51
162,1.55
163,1.51
164,1.56
165,1.5
166,1.51
167,1.52
168,1.47
169,1.53
170,1.55
171,1.51
172,1.5
173,1.47
174,1.52
175,1.53
176,1.51
177,1.51
178,1.52
179,1.47
180,1.6
181,1.45
182,1.53
183,1.51
184,1.52
185,1.57
186,1.48
187,1.53
188,1.49
189,1.54
190,1.55
191,1.51
192,1.55
193,1.52
194,1.48
195,1.45
196,1.48
197,1.51
198,1.49
199,1.48
200,1.57
201,1.46
202,1.49
203,1.44
204,1.5
205,1.49
206,1.53
207,1.44
208,1.49
209,1.48
210,1.45
211,1.48
212,1.53
213,1.52
214,1.44
215,1.44
216,1.49
217,1.45
218,1.48
219,1.48
220,1.46
221,1.47
222,1.47
223,1.47
224,1.48
225,1.52
226,1.46
227,1.49
228,1.5
229,1.44
230,1.53
231,1.45
232,1.51
233,1.48
234,1.46
235,1.52
236,1.44
237,1.53
238,1.48
239,1.49
240,1.46
241,1.47
242,1.51
243,1.45
244,1.51
245,1.53
246,1.5
247,1.48
248,1.45
249,1.48
250,1.51
251,1.44
252,1.44
253,1.48
254,1.42
255,1.46
256,1.49
257,1.46
258,1.44
259,1.54
260,1.51
261,1.44
262,1.53
263,1.44
264,1.49
265,1.43
266,1.54
267,1.48
268,1.51
269,1.48
270,1.45
271,1.51
272,1.45
273,1.48
274,1.55
275,1.48
276,1.49
277,1.53
278,1.48
279,1.57
280,1.52
281,1.57
282,1.5
283,1.49
284,1.48
285,1.48
286,1.46
287,1.52
288,1.56
289,1.48
290,1.51
291,1.46
292,1.5
293,1.49
294,1.49
295,1.52
296,1.47
297,1.56
298,1.46
299,1.51
300,1.5
301,1.53
302,1.53
303,1.48
304,1.55
305,1.47
306,1.5
307,1.45
308,1.53
309,1.5
310,1.49
311,1.46
312,1.48
313,1.49
314,1.49
315,1.51
316,1.55
317,1.52
318,1.46
319,1.51
320,1.45
321,1.47
322,1.48
323,1.52
324,1.51
325,1.52
326,1.5
327,1.49
328,1.52
329,1.51
330,1.51
331,1.52
332,1.5
333,1.49
334,1.46
335,1.55
336,1.48
337,1.47
338,1.45
339,1.55
340,1.48
341,1.5
342,1.52
343,1.49
344,1.56
345,1.52
346,1.51
347,1.5
348,1.51
349,1.51
350,1.5
351,1.42
352,1.52
353,1.46
354,1.53
355,1.48
356,1.54
357,1.53
358,1.57
359,1.52
360,1.52
361,1.53
362,1.43
363,1.55
364,1.51
