Day,Price
0,8.0
1,7.87
2,8.06
3,7.68
4,7.85
5,8.0
6,8.65
7,8.1
8,8.08
9,8.51
10,8.12
11,8.23
12,7.57
13,7.59
14,7.76
15,8.08
16,8.82
17,8.11
18,8.33
19,7.61
20,7.8
21,8.07
22,8.08
23,7.98
24,7.41
25,7.86
26,7.86
27,8.25
28,7.21
29,9.38
30,8.57
31,7.2
32,8.95
33,8.23
34,7.81
35,8.31
36,7.99
37,8.51
38,8.71
39,7.58
40,7.7
41,7.58
42,7.49
43,7.85
44,7.71
45,8.17
46,8.41
47,8.07
48,8.95
49,8.6
50,9.07
51,7.74
52,8.26
53,8.53
54,8.16
55,7.28
56,8.19
57,8.83
58,8.12
59,8.46
60,8.96
61,8.75
62,8.31
63,8.9
64,8.6
65,9.07
66,8.94
67,8.9
68,9.59
69,8.86
70,9.44
71,9.55
72,9.15
73,8.97
74,9.66
75,9.81
76,10.01
77,8.89
78,9.2
79,9.24
80,9.73
81,9.58
82,9.69
83,9.75
84,8.74
85,8.88
86,9.51
87,8.43
88,9.37
89,9.83
90,8.91
91,8.89
92,8.82
93,9.43
94,9.25
95,8.69
96,9.14
97,8.6
98,7.92
99,8.0
100,8.71
101,7.92
102,8.21
103,8.63
104,8.56
105,8.61
106,8.67
107,9.06
108,9.08
109,8.72
110,9.03
111,8.26
112,7.67
113,7.64
114,8.12
115,7.99
116,8.15
117,7.37
118,7.59
119,7.88
120,8.34
121,8.48
122,7.84
123,8.46
124,8.77
125,8.26
126,8.65
127,8.22
128,9.09
129,8.71
130,8.58
131,8.69
132,8.25
133,8.74
134,9.65
135,8.9
136,9.02
137,8.68
138,9.04
139,9.21
140,9.23
141,8.83
142,9.61
143,9.02
144,8.92
145,9.34
146,9.03
147,9.72
148,9.49
149,10.14
150,9.65
151,9.81
152,9.59
153,9.58
154,9.05
155,8.57
156,9.09
157,8.89
158,9.22
159,9.61
160,9.34
161,8.68
162,9.18
163,8.97
164,8.5
165,9.25
166,9.06
167,8.74
168,8.38
169,8.2
170,8.81
171,7.99
172,8.78
173,8.54
174,8.61
175,9.3
176,9.08
177,9.33
178,9.8
179,9.17
180,9.36
181,9.22
182,10.24
183,9.02
184,9.66
185,9.85
186,9.37
187,9.36
188,9.57
189,8.39
190,9.25
191,9.01
192,9.15
193,9.39
194,9.17
195,9.37
196,8.37
197,8.21
198,9.12
199,8.96
200,8.4
201,9.02
202,8.16
203,8.88
204,9.32
205,8.52
206,8.9
207,9.1
208,10.01
209,8.76
210,9.47
211,8.6
212,9.03
213,8.81
214,9.38
215,8.97
216,8.81
217,9.48
218,9.99
219,9.89
220,9.46
221,10.33
222,9.23
223,9.88
224,9.15
225,9.17
226,8.93
227,8.56
228,9.29
229,9.72
230,8.79
231,8.59
232,9.09
233,9.48
234,8.74
235,9.39
236,8.57
237,8.65
238,8.97
239,8.79
240,8.45
241,9.09
242,9.22
243,8.71
244,8.71
245,7.4
246,8.32
247,7.89
248,8.14
249,7.97
250,8.22
251,7.45
252,7.21
253,7.92
254,7.93
255,8.16
256,7.99
257,7.7
258,8.23
259,7.5
260,8.12
261,7.73
262,8.49
263,8.39
264,8.12
265,8.51
266,7.97
267,8.54
268,8.52
269,8.1
270,8.7
271,8.55
272,8.42
273,8.01
274,8.6
275,8.73
276,8.58
277,8.26
278,8.39
279,8.55
280,8.82
281,8.74
282,8.66
283,9.51
284,9.66
285,9.08
286,9.47
287,8.91
288,9.14
289,9.44
290,9.6
291,9.87
292,9.61
293,9.39
294,8.55
295,9.57
296,9.94
297,9.33
298,9.14
299,9.03
300,9.32
301,9.53
302,9.53
303,8.53
304,8.79
305,8.84
306,9.0
307,9.03
308,8.82
309,8.17
310,9.0
311,8.04
312,7.99
313,8.54
314,8.23
315,8.52
316,8.17
317,8.53
318,9.0
319,8.43
320,8.47
321,8.67
322,7.85
323,8.23
324,8.84
325,8.03
326,8.22
327,8.18
328,7.95
329,8.13
330,7.24
331,8.17
332,7.98
333,7.94
334,7.84
335,7.95
336,7.15
337,8.08
338,7.53
339,8.61
340,7.98
341,7.77
342,7.81
343,7.94
344,7.79
345,8.0
346,7.59
347,7.88
348,7.47
349,8.09
350,7.9
351,7.93
352,8.51
353,8.02
354,7.76
355,7.87
356,7.86
357,7.45
358,7.96
359,8.24
360,8.24
361,7.87
362,8.37
363,7.89
364,7.36
