Day,Price
0,2.2
1,2.2
2,2.2
3,2.2
4,2.21
5,2.2
6,2.2
7,2.18
8,2.21
9,2.19
10,2.2
11,2.2
12,2.2
13,2.2
14,2.2
15,2.2
16,2.2
17,2.2
18,2.19
19,2.21
20,2.2
21,2.2
22,2.21
23,2.2
24,2.21
25,2.2
26,2.22
27,2.2
28,2.2
29,2.2
30,2.2
31,2.21
32,2.2
33,2.2
34,2.2
35,2.2
36,2.2
37,2.21
38,2.18
39,2.2
40,2.2
41,2.2
42,2.2
43,2.2
44,2.22
45,2.2
46,2.2
47,2.2
48,2.2
49,2.3
50,2.27
51,2.29
52,2.28
53,2.29
54,2.29
55,2.28
56,2.37
57,2.37
58,2.38
59,2.41
60,2.37
61,2.38
62,2.37
63,2.48
64,2.46
65,2.47
66,2.46
67,2.47
68,2.46
69,2.46
70,2.47
71,2.46
72,2.45
73,2.45
74,2.47
75,2.46
76,2.47
77,2.38
78,2.37
79,2.38
80,2.36
81,2.38
82,2.37
83,2.37
84,2.29
85,2.28
86,2.29
87,2.29
88,2.26
89,2.29
90,2.27
91,2.2
92,2.2
93,2.2
94,2.21
95,2.2
96,2.2
97,2.2
98,2.2
99,2.2
100,2.2
101,2.21
102,2.2
103,2.2
104,2.2
105,2.1
106,2.11
107,2.11
108,2.09
109,2.11
110,2.09
111,2.14
112,2.02
113,2.02
114,2.02
115,2.04
116,2.02
117,2.02
118,2.04
119,1.93
120,1.92
121,1.94
122,1.94
123,1.95
124,1.94
125,1.94
126,1.91
127,1.93
128,1.92
129,1.94
130,1.93
131,1.95
132,1.93
133,2.03
134,2.03
135,2.02
136,2.01
137,2.02
138,2.04
139,2.02
140,2.11
141,2.11
142,2.12
143,2.12
144,2.12
145,2.11
146,2.11
147,2.18
148,2.2
149,2.19
150,2.19
151,2.21
152,2.2
153,2.21
154,2.21
155,2.2
156,2.21
157,2.2
158,2.2
159,2.2
160,2.21
161,2.29
162,2.29
163,2.26
164,2.29
165,2.29
166,2.29
167,2.28
168,2.37
169,2.38
170,2.38
171,2.37
172,2.38
173,2.38
174,2.38
175,2.44
176,2.46
177,2.47
178,2.46
179,2.46
180,2.46
181,2.46
182,2.47
183,2.46
184,2.47
185,2.46
186,2.47
187,2.48
188,2.46
189,2.4
190,2.38
191,2.38
192,2.37
193,2.38
194,2.36
195,2.37
196,2.3
197,2.29
198,2.3
199,2.29
200,2.28
201,2.29
202,2.29
203,2.2
204,2.19
205,2.2
206,2.19
207,2.23
208,2.19
209,2.22
210,2.19
211,2.2
212,2.19
213,2.2
214,2.21
215,2.2
216,2.21
217,2.29
218,2.3
219,2.28
220,2.29
221,2.29
222,2.29
223,2.29
224,2.38
225,2.36
226,2.38
227,2.38
228,2.37
229,2.37
230,2.37
231,2.46
232,2.45
233,2.47
234,2.44
235,2.47
236,2.46
237,2.46
238,2.47
239,2.44
240,2.47
241,2.47
242,2.47
243,2.47
244,2.46
245,2.38
246,2.37
247,2.38
248,2.37
249,2.38
250,2.38
251,2.38
252,2.29
253,2.29
254,2.29
255,2.28
256,2.25
257,2.29
258,2.26
259,2.2
260,2.2
261,2.2
262,2.2
263,2.2
264,2.2
265,2.22
266,2.19
267,2.19
268,2.2
269,2.2
270,2.2
271,2.2
272,2.2
273,2.29
274,2.29
275,2.29
276,2.29
277,2.29
278,2.29
279,2.28
280,2.37
281,2.37
282,2.38
283,2.37
284,2.37
285,2.38
286,2.37
287,2.44
288,2.47
289,2.45
290,2.47
291,2.47
292,2.47
293,2.47
294,2.46
295,2.46
296,2.47
297,2.46
298,2.46
299,2.48
300,2.47
301,2.37
302,2.37
303,2.37
304,2.38
305,2.37
306,2.37
307,2.38
308,2.29
309,2.29
310,2.29
311,2.29
312,2.29
313,2.28
314,2.29
315,2.2
316,2.2
317,2.19
318,2.2
319,2.2
320,2.22
321,2.21
322,2.2
323,2.22
324,2.2
325,2.2
326,2.2
327,2.22
328,2.2
329,2.2
330,2.2
331,2.2
332,2.21
333,2.2
334,2.19
335,2.2
336,2.19
337,2.2
338,2.2
339,2.21
340,2.2
341,2.19
342,2.21
343,2.2
344,2.2
345,2.2
346,2.21
347,2.2
348,2.2
349,2.19
350,2.2
351,2.2
352,2.21
353,2.2
354,2.2
355,2.2
356,2.2
357,2.2
358,2.19
359,2.23
360,2.2
361,2.19
362,2.2
363,2.19
364,2.19
