Day,Price
0,38.07
1,38.49
2,38.92
3,39.38
4,39.85
5,40.35
6,40.86
7,41.39
8,41.93
9,42.49
10,43.07
11,43.66
12,44.27
13,44.89
14,45.53
15,46.17
16,46.83
17,47.5
18,48.17
19,48.86
20,49.55
21,50.25
22,50.95
23,51.65
24,52.36
25,53.07
26,53.78
27,57.78
28,55.19
29,55.89
30,56.58
31,57.27
32,57.95
33,58.62
34,59.28
35,59.93
36,60.57
37,61.19
38,61.79
39,62.38
40,62.96
41,63.51
42,64.04
43,64.56
44,65.05
45,65.52
46,65.97
47,66.39
48,66.78
49,67.16
50,67.5
51,67.82
52,68.11
53,68.37
54,68.6
55,68.81
56,68.99
57,69.13
58,69.25
59,69.34
60,69.4
61,69.43
62,69.43
63,69.4
64,69.34
65,69.26
66,69.15
67,69.01
68,68.84
69,68.65
70,68.43
71,68.19
72,67.92
73,67.63
74,67.32
75,66.99
76,66.64
77,66.26
78,65.88
79,65.47
80,65.05
81,64.62
82,64.17
83,63.71
84,63.24
85,62.76
86,62.28
87,61.79
88,61.29
89,60.79
90,60.29
91,59.79
92,59.29
93,58.79
94,58.29
95,57.81
96,57.32
97,56.85
98,56.38
99,55.93
100,55.49
101,55.06
102,54.65
103,54.25
104,53.87
105,53.5
106,53.16
107,52.83
108,52.53
109,52.24
110,51.98
111,51.74
112,51.53
113,51.34
114,51.17
115,51.04
116,50.92
117,50.83
118,50.77
119,50.74
120,50.73
121,50.74
122,50.79
123,50.86
124,50.96
125,51.08
126,51.23
127,51.4
128,51.6
129,51.82
130,52.06
131,52.33
132,52.62
133,52.93
134,53.26
135,53.61
136,53.97
137,54.36
138,54.76
139,55.17
140,55.6
141,56.04
142,56.49
143,56.95
144,57.42
145,57.89
146,57.45
147,58.86
148,59.34
149,59.83
150,60.32
151,60.8
152,61.28
153,61.76
154,62.22
155,62.68
156,63.13
157,63.57
158,64.0
159,64.42
160,56.77
161,65.18
162,65.54
163,65.88
164,66.2
165,66.49
166,66.77
167,65.26
168,67.23
169,67.43
170,67.6
171,67.74
172,67.85
173,67.93
174,67.98
175,68.0
176,67.99
177,67.94
178,67.86
179,67.75
180,67.6
181,67.42
182,67.21
183,66.96
184,66.67
185,66.36
186,66.01
187,65.64
188,65.21
189,64.76
190,64.28
191,63.77
192,63.23
193,62.66
194,62.06
195,61.43
196,60.77
197,60.09
198,59.47
199,58.64
200,57.89
201,57.11
202,56.31
203,55.49
204,49.23
205,53.8
206,52.93
207,52.05
208,51.15
209,50.25
210,49.33
211,48.41
212,47.48
213,46.54
214,45.6
215,44.67
216,43.73
217,42.79
218,41.85
219,40.92
220,40.0
221,39.08
222,38.18
223,37.28
224,36.39
225,35.52
226,34.66
227,33.82
228,33.0
229,32.19
230,31.41
231,30.64
232,29.9
233,29.18
234,28.48
235,27.8
236,27.15
237,26.53
238,25.94
239,25.37
240,24.83
241,24.31
242,23.83
243,23.37
244,22.94
245,22.55
246,22.18
247,21.84
248,21.53
249,21.25
250,21.0
251,20.78
252,20.58
253,20.42
254,20.28
255,20.17
256,20.08
257,20.02
258,19.99
259,19.98
260,19.99
261,20.02
262,20.08
263,20.16
264,20.26
265,20.37
266,20.51
267,20.66
268,20.82
269,21.0
270,21.19
271,21.4
272,21.61
273,21.83
274,22.07
275,22.3
276,22.55
277,22.79
278,23.04
279,23.3
280,23.55
281,23.8
282,24.05
283,5.62
284,24.54
285,24.77
286,25.0
287,25.04
288,25.44
289,25.65
290,25.84
291,26.02
292,26.19
293,26.35
294,26.49
295,26.62
296,26.73
297,26.83
298,26.91
299,26.98
300,27.03
301,27.06
302,27.07
303,27.07
304,27.04
305,27.0
306,26.95
307,26.87
308,26.78
309,26.67
310,26.54
311,26.39
312,26.23
313,26.06
314,25.86
315,25.65
316,25.43
317,25.2
318,24.95
319,24.69
320,24.41
321,24.13
322,23.84
323,23.53
324,23.22
325,22.91
326,22.59
327,22.26
328,21.93
329,21.6
330,21.26
331,20.93
332,20.59
333,20.26
334,19.93
335,19.61
336,19.29
337,18.98
338,18.68
339,18.38
340,18.1
341,17.83
342,17.56
343,17.32
344,17.08
345,16.86
346,16.66
347,16.48
348,16.31
349,16.16
350,16.03
351,15.92
352,15.83
353,15.76
354,15.72
355,15.69
356,15.69
357,15.63
358,15.76
359,15.83
360,15.93
361,16.05
362,16.19
363,16.35
364,16.54
