Day,Price
0,5.0
1,5.0
2,4.9
3,4.92
4,5.04
5,5.12
6,5.08
7,5.21
8,5.05
9,5.08
10,5.01
11,5.15
12,5.21
13,5.22
14,5.24
15,5.17
16,5.29
17,5.25
18,5.27
19,5.27
20,5.24
21,5.31
22,5.37
23,5.29
24,5.27
25,5.3
26,5.3
27,5.31
28,5.26
29,5.28
30,5.39
31,5.33
32,5.38
33,5.36
34,5.39
35,5.23
36,5.32
37,5.29
38,5.34
39,5.34
40,5.36
41,5.27
42,5.34
43,5.29
44,5.24
45,5.29
46,5.19
47,5.4
48,5.38
49,5.36
50,5.27
51,5.27
52,5.41
53,5.36
54,5.23
55,5.3
56,5.26
57,5.31
58,5.34
59,5.2
60,5.35
61,5.37
62,5.27
63,5.28
64,5.24
65,5.27
66,5.31
67,5.25
68,5.31
69,5.39
70,5.29
71,5.43
72,5.36
73,5.37
74,5.26
75,5.23
76,5.36
77,5.33
78,5.35
79,5.32
80,5.33
81,5.26
82,5.34
83,5.37
84,5.42
85,5.3
86,5.31
87,5.37
88,5.23
89,5.28
90,5.37
91,5.36
92,5.31
93,5.35
94,5.4
95,5.37
96,5.35
97,5.19
98,5.33
99,5.35
100,5.32
101,5.22
102,5.28
103,5.27
104,5.29
105,5.35
106,5.46
107,5.42
108,5.42
109,5.49
110,5.52
111,5.48
112,5.57
113,5.58
114,5.6
115,5.63
116,5.81
117,5.76
118,5.77
119,5.74
120,5.92
121,5.86
122,5.85
123,5.9
124,5.98
125,6.09
126,6.02
127,5.98
128,5.94
129,5.91
130,5.93
131,5.82
132,5.86
133,5.86
134,5.86
135,5.84
136,5.77
137,5.68
138,5.71
139,5.71
140,5.69
141,5.61
142,5.64
143,5.51
144,5.62
145,5.57
146,5.59
147,5.53
148,5.53
149,5.45
150,5.49
151,5.48
152,5.48
153,5.5
154,5.54
155,5.39
156,5.49
157,5.51
158,5.53
159,5.48
160,5.42
161,5.42
162,5.44
163,5.55
164,5.44
165,5.45
166,5.46
167,5.51
168,5.56
169,5.49
170,5.6
171,5.57
172,5.59
173,5.6
174,5.67
175,5.74
176,5.71
177,5.7
178,5.71
179,5.94
180,5.94
181,5.89
182,5.92
183,5.96
184,6.11
185,6.14
186,6.25
187,6.17
188,6.19
189,6.09
190,6.02
191,6.0
192,5.99
193,6.07
194,5.8
195,5.94
196,5.88
197,5.85
198,5.75
199,5.84
200,5.8
201,5.7
202,5.67
203,5.74
204,5.77
205,5.62
206,5.65
207,5.64
208,5.66
209,5.54
210,5.54
211,5.55
212,5.6
213,5.62
214,5.55
215,5.69
216,5.65
217,5.66
218,5.85
219,5.76
220,5.81
221,5.79
222,5.84
223,5.82
224,5.9
225,6.05
226,5.84
227,5.98
228,6.01
229,6.02
230,6.04
231,5.89
232,5.91
233,5.91
234,5.89
235,5.9
236,5.82
237,5.84
238,5.66
239,5.73
240,5.75
241,5.66
242,5.69
243,5.65
244,5.74
245,5.5
246,5.61
247,5.53
248,5.5
249,5.51
250,5.53
251,5.48
252,5.55
253,5.52
254,5.49
255,5.59
256,5.52
257,5.6
258,5.51
259,5.68
260,5.68
261,5.63
262,5.68
263,5.69
264,5.72
265,5.73
266,5.68
267,5.76
268,5.82
269,5.68
270,5.66
271,5.8
272,5.71
273,5.81
274,5.93
275,5.94
276,6.02
277,5.97
278,5.98
279,5.96
280,6.06
281,6.14
282,6.17
283,6.18
284,6.15
285,6.26
286,6.18
287,6.3
288,6.34
289,6.33
290,6.4
291,6.43
292,6.33
293,6.45
294,6.38
295,6.34
296,6.31
297,6.33
298,6.3
299,6.29
300,6.18
301,6.1
302,6.16
303,6.05
304,6.18
305,6.14
306,6.08
307,6.06
308,5.92
309,5.98
310,6.0
311,5.97
312,5.96
313,5.93
314,5.96
315,5.88
316,5.7
317,5.88
318,5.85
319,5.83
320,5.76
321,5.76
322,5.64
323,5.68
324,5.79
325,5.67
326,5.75
327,5.78
328,5.72
329,5.74
330,5.71
331,5.7
332,5.68
333,5.63
334,5.79
335,5.64
336,5.63
337,5.76
338,5.6
339,5.7
340,5.66
341,5.74
342,5.67
343,5.66
344,5.64
345,5.65
346,5.69
347,5.65
348,5.72
349,5.62
350,5.58
351,5.66
352,5.67
353,5.62
354,5.79
355,5.66
356,5.7
357,5.72
358,5.68
359,5.76
360,5.69
361,5.73
362,5.75
363,5.78
364,5.77
