Day,Price
0,120.0
1,114.34
2,115.93
3,114.36
4,121.42
5,118.01
6,116.12
7,121.1
8,122.58
9,119.27
10,117.48
11,122.03
12,125.84
13,124.57
14,126.09
15,122.59
16,125.85
17,127.26
18,126.48
19,123.61
20,121.89
21,128.38
22,124.79
23,126.52
24,129.38
25,128.22
26,129.42
27,129.56
28,126.24
29,133.79
30,126.4
31,128.09
32,125.57
33,126.16
34,124.73
35,124.73
36,128.38
37,127.65
38,128.74
39,126.86
40,129.53
41,133.35
42,130.77
43,130.1
44,132.33
45,135.23
46,126.91
47,126.69
48,125.09
49,127.44
50,124.72
51,123.38
52,126.35
53,126.19
54,128.84
55,123.53
56,126.66
57,123.81
58,120.25
59,128.1
60,125.59
61,126.97
62,123.36
63,122.31
64,124.43
65,125.25
66,123.12
67,125.42
68,125.45
69,131.53
70,126.17
71,124.57
72,125.23
73,124.67
74,126.72
75,128.62
76,124.7
77,128.25
78,127.92
79,125.51
80,127.71
81,126.5
82,127.02
83,125.12
84,128.12
85,126.77
86,126.61
87,121.65
88,129.13
89,125.68
90,123.47
91,126.44
92,127.66
93,128.13
94,125.24
95,127.5
96,125.49
97,124.82
98,124.64
99,124.8
100,123.54
101,126.39
102,122.03
103,122.94
104,123.78
105,126.45
106,124.62
107,119.68
108,121.52
109,121.39
110,120.76
111,122.15
112,121.95
113,115.93
114,121.87
115,116.46
116,114.83
117,119.22
118,116.35
119,116.37
120,114.88
121,112.2
122,118.83
123,114.92
124,114.05
125,112.95
126,111.37
127,113.52
128,115.49
129,113.25
130,115.28
131,115.87
132,117.55
133,117.19
134,118.0
135,119.57
136,118.88
137,121.9
138,116.6
139,123.02
140,120.3
141,118.31
142,128.77
143,122.98
144,130.18
145,125.48
146,123.42
147,126.46
148,129.11
149,131.17
150,128.43
151,128.81
152,130.12
153,130.64
154,127.35
155,129.22
156,134.39
157,133.6
158,131.15
159,131.63
160,129.22
161,136.36
162,131.51
163,130.87
164,130.94
165,139.51
166,134.92
167,135.48
168,137.1
169,138.54
170,135.32
171,134.14
172,135.99
173,134.3
174,135.17
175,127.97
176,132.89
177,132.43
178,132.62
179,133.52
180,132.6
181,130.68
182,134.09
183,131.15
184,134.1
185,131.48
186,129.89
187,131.3
188,131.45
189,135.89
190,137.32
191,135.17
192,133.83
193,131.99
194,136.38
195,135.86
196,137.83
197,136.83
198,139.88
199,139.18
200,142.65
201,138.7
202,142.0
203,139.65
204,141.35
205,140.71
206,144.44
207,143.08
208,141.56
209,144.02
210,140.16
211,138.19
212,135.31
213,136.71
214,141.17
215,137.59
216,135.83
217,127.84
218,137.62
219,132.3
220,130.86
221,127.71
222,131.18
223,127.94
224,128.14
225,127.08
226,126.82
227,128.86
228,128.54
229,126.11
230,127.76
231,124.7
232,123.66
233,127.62
234,121.07
235,124.95
236,124.61
237,121.94
238,122.96
239,123.59
240,124.17
241,122.37
242,126.02
243,119.83
244,123.6
245,123.03
246,122.13
247,121.64
248,116.65
249,120.33
250,121.34
251,121.81
252,119.01
253,117.73
254,118.54
255,114.55
256,116.89
257,116.74
258,119.49
259,121.02
260,117.96
261,115.16
262,114.64
263,118.55
264,118.85
265,119.48
266,119.66
267,113.96
268,111.81
269,118.16
270,117.71
271,114.43
272,113.93
273,116.38
274,122.3
275,122.78
276,121.51
277,118.05
278,124.49
279,126.05
280,126.93
281,125.79
282,128.88
283,127.36
284,127.03
285,136.33
286,133.56
287,135.28
288,136.83
289,136.96
290,137.62
291,137.9
292,142.03
293,138.64
294,138.08
295,139.29
296,141.27
297,134.26
298,135.5
299,135.53
300,136.99
301,139.81
302,136.87
303,137.58
304,136.13
305,137.46
306,130.67
307,139.13
308,131.89
309,134.44
310,133.45
311,135.84
312,134.4
313,133.63
314,134.02
315,132.29
316,134.45
317,127.66
318,128.19
319,127.71
320,126.44
321,121.42
322,131.3
323,127.86
324,125.76
325,127.24
326,123.98
327,129.19
328,129.68
329,121.28
330,125.02
331,127.49
332,126.2
333,124.01
334,126.88
335,120.69
336,124.79
337,124.97
338,129.47
339,126.61
340,128.74
341,126.54
342,128.94
343,129.93
344,129.48
345,127.46
346,127.6
347,129.83
348,132.13
349,133.79
350,132.32
351,134.03
352,136.57
353,132.44
354,133.23
355,134.9
356,131.43
357,131.8
358,132.64
359,128.63
360,130.37
361,131.31
362,128.42
363,128.51
364,131.81
